,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.010229039,0.010071494,0.001032615,0.001560649,1,3,linear,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.861111111,0.888888889,0.888888889,0.805555556,0.833333333,0.885714286,0.941176471,0.941176471,0.970588235,0.882352941,0.888888889,0.047846743,12,0.93015873,0.936507937,0.93015873,0.942857143,0.942857143,0.936708861,0.927444795,0.927444795,0.927444795,0.933753943,0.933533687,0.005716945
1,0.015928364,0.013186528,0.001722479,0.002135053,1,3,rbf,"{'C': 1, 'degree': 3, 'kernel': 'rbf'}",0.944444444,0.944444444,0.888888889,0.833333333,0.888888889,0.914285714,0.970588235,0.970588235,1,0.882352941,0.923076923,0.048355953,7,0.93968254,0.942857143,0.942857143,0.952380952,0.949206349,0.939873418,0.940063091,0.940063091,0.936908517,0.94637224,0.943026448,0.004615896
2,0.007143116,0.003006968,0.000944686,0.001232031,1,3,poly,"{'C': 1, 'degree': 3, 'kernel': 'poly'}",0.638888889,0.638888889,0.638888889,0.666666667,0.638888889,0.628571429,0.647058824,0.647058824,0.647058824,0.647058824,0.643874644,0.009526715,25,0.688888889,0.688888889,0.679365079,0.695238095,0.692063492,0.708860759,0.700315457,0.687697161,0.668769716,0.690851735,0.690093927,0.010325059
3,0.005316138,0.001875353,9.98E-05,0.000299549,1,4,linear,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.861111111,0.888888889,0.888888889,0.805555556,0.833333333,0.885714286,0.941176471,0.941176471,0.970588235,0.882352941,0.888888889,0.047846743,12,0.93015873,0.936507937,0.93015873,0.942857143,0.942857143,0.936708861,0.927444795,0.927444795,0.927444795,0.933753943,0.933533687,0.005716945
4,0.006921029,0.00214725,0.000914907,0.001206373,1,4,rbf,"{'C': 1, 'degree': 4, 'kernel': 'rbf'}",0.944444444,0.944444444,0.888888889,0.833333333,0.888888889,0.914285714,0.970588235,0.970588235,1,0.882352941,0.923076923,0.048355953,7,0.93968254,0.942857143,0.942857143,0.952380952,0.949206349,0.939873418,0.940063091,0.940063091,0.936908517,0.94637224,0.943026448,0.004615896
5,0.007018876,0.001823686,0.001217461,0.001685297,1,4,poly,"{'C': 1, 'degree': 4, 'kernel': 'poly'}",0.638888889,0.638888889,0.638888889,0.638888889,0.638888889,0.628571429,0.647058824,0.647058824,0.647058824,0.647058824,0.641025641,0.005649015,26,0.66984127,0.66984127,0.663492063,0.666666667,0.66984127,0.670886076,0.665615142,0.668769716,0.652996845,0.668769716,0.666672004,0.005049068
6,0.004821563,0.001767621,0.001854038,0.001819754,1,5,linear,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",0.861111111,0.888888889,0.888888889,0.805555556,0.833333333,0.885714286,0.941176471,0.941176471,0.970588235,0.882352941,0.888888889,0.047846743,12,0.93015873,0.936507937,0.93015873,0.942857143,0.942857143,0.936708861,0.927444795,0.927444795,0.927444795,0.933753943,0.933533687,0.005716945
7,0.010340381,0.00280044,0.002708364,0.001952922,1,5,rbf,"{'C': 1, 'degree': 5, 'kernel': 'rbf'}",0.944444444,0.944444444,0.888888889,0.833333333,0.888888889,0.914285714,0.970588235,0.970588235,1,0.882352941,0.923076923,0.048355953,7,0.93968254,0.942857143,0.942857143,0.952380952,0.949206349,0.939873418,0.940063091,0.940063091,0.936908517,0.94637224,0.943026448,0.004615896
8,0.008670712,0.003834403,0.001657534,0.002286564,1,5,poly,"{'C': 1, 'degree': 5, 'kernel': 'poly'}",0.638888889,0.638888889,0.638888889,0.638888889,0.638888889,0.628571429,0.647058824,0.647058824,0.647058824,0.647058824,0.641025641,0.005649015,26,0.657142857,0.657142857,0.653968254,0.653968254,0.657142857,0.658227848,0.65615142,0.65615142,0.640378549,0.65615142,0.654642574,0.004927577
9,0.007707882,0.001295434,0.000644469,0.00144185,10,3,linear,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.944444444,0.888888889,0.833333333,0.777777778,0.833333333,0.885714286,0.882352941,0.970588235,0.970588235,0.882352941,0.886039886,0.059246735,15,0.93968254,0.946031746,0.949206349,0.965079365,0.961904762,0.946202532,0.940063091,0.94637224,0.933753943,0.949526814,0.947782338,0.009128193
10,0.006641483,0.001147624,0.000458789,0.000573775,10,3,rbf,"{'C': 10, 'degree': 3, 'kernel': 'rbf'}",0.972222222,0.972222222,1,0.861111111,0.916666667,0.942857143,0.970588235,1,1,0.911764706,0.954415954,0.043984542,1,0.974603175,0.971428571,0.974603175,0.984126984,0.984126984,0.981012658,0.977917981,0.971608833,0.971608833,0.981072555,0.977210975,0.004851106
11,0.008220863,0.00206656,0.000496697,0.001018165,10,3,poly,"{'C': 10, 'degree': 3, 'kernel': 'poly'}",0.916666667,0.888888889,0.805555556,0.777777778,0.888888889,0.857142857,0.852941176,0.911764706,1,0.911764706,0.88034188,0.059224051,18,0.920634921,0.933333333,0.926984127,0.949206349,0.936507937,0.933544304,0.921135647,0.90851735,0.927444795,0.936908517,0.929421728,0.010595774
12,0.00988822,0.002084333,0.000898886,0.001576206,10,4,linear,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.944444444,0.888888889,0.833333333,0.777777778,0.833333333,0.885714286,0.882352941,0.970588235,0.970588235,0.882352941,0.886039886,0.059246735,15,0.93968254,0.946031746,0.949206349,0.965079365,0.961904762,0.946202532,0.940063091,0.94637224,0.933753943,0.949526814,0.947782338,0.009128193
13,0.006428862,0.001643102,0.000819135,0.000768282,10,4,rbf,"{'C': 10, 'degree': 4, 'kernel': 'rbf'}",0.972222222,0.972222222,1,0.861111111,0.916666667,0.942857143,0.970588235,1,1,0.911764706,0.954415954,0.043984542,1,0.974603175,0.971428571,0.974603175,0.984126984,0.984126984,0.981012658,0.977917981,0.971608833,0.971608833,0.981072555,0.977210975,0.004851106
14,0.007197428,0.002028231,0.000526786,0.001226683,10,4,poly,"{'C': 10, 'degree': 4, 'kernel': 'poly'}",0.694444444,0.638888889,0.805555556,0.694444444,0.638888889,0.657142857,0.676470588,0.705882353,0.794117647,0.647058824,0.695156695,0.057108506,23,0.815873016,0.803174603,0.831746032,0.825396825,0.828571429,0.832278481,0.832807571,0.813880126,0.813880126,0.8170347,0.821464291,0.009579888
15,0.008850455,0.0031787,0.001816702,0.001734388,10,5,linear,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.944444444,0.888888889,0.833333333,0.777777778,0.833333333,0.885714286,0.882352941,0.970588235,0.970588235,0.882352941,0.886039886,0.059246735,15,0.93968254,0.946031746,0.949206349,0.965079365,0.961904762,0.946202532,0.940063091,0.94637224,0.933753943,0.949526814,0.947782338,0.009128193
16,0.006634545,0.002187283,0.00099597,0.001422638,10,5,rbf,"{'C': 10, 'degree': 5, 'kernel': 'rbf'}",0.972222222,0.972222222,1,0.861111111,0.916666667,0.942857143,0.970588235,1,1,0.911764706,0.954415954,0.043984542,1,0.974603175,0.971428571,0.974603175,0.984126984,0.984126984,0.981012658,0.977917981,0.971608833,0.971608833,0.981072555,0.977210975,0.004851106
17,0.006721377,0.001999204,0.000405192,0.001215577,10,5,poly,"{'C': 10, 'degree': 5, 'kernel': 'poly'}",0.638888889,0.638888889,0.638888889,0.638888889,0.638888889,0.628571429,0.647058824,0.647058824,0.735294118,0.647058824,0.64957265,0.028568149,24,0.758730159,0.752380952,0.752380952,0.768253968,0.774603175,0.775316456,0.76340694,0.753943218,0.753943218,0.769716088,0.762267513,0.008727253
18,0.095190978,0.076646447,0.002253509,0.001950966,100,3,linear,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.916666667,0.805555556,0.805555556,0.833333333,0.805555556,0.914285714,0.882352941,0.970588235,0.970588235,0.882352941,0.877492877,0.061386402,19,0.946031746,0.952380952,0.952380952,0.971428571,0.968253968,0.949367089,0.943217666,0.94637224,0.943217666,0.955835962,0.952848681,0.009369877
19,0.006823397,0.00171029,0.000646091,0.000542601,100,3,rbf,"{'C': 100, 'degree': 3, 'kernel': 'rbf'}",0.944444444,0.972222222,1,0.861111111,0.805555556,0.914285714,0.941176471,1,0.970588235,0.911764706,0.931623932,0.059011959,4,0.993650794,0.99047619,0.99047619,0.996825397,0.993650794,0.993670886,0.993690852,0.990536278,0.993690852,0.990536278,0.992720451,0.002024425
20,0.006827402,0.00162383,0.001067853,0.001174487,100,3,poly,"{'C': 100, 'degree': 3, 'kernel': 'poly'}",0.944444444,0.861111111,0.805555556,0.833333333,0.888888889,0.942857143,0.911764706,1,1,0.941176471,0.911680912,0.062471829,10,0.961904762,0.958730159,0.968253968,0.977777778,0.961904762,0.96835443,0.96214511,0.958990536,0.955835962,0.971608833,0.96455063,0.00643028
21,0.102286935,0.070478651,0.00196104,0.001839794,100,4,linear,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.916666667,0.805555556,0.805555556,0.833333333,0.805555556,0.914285714,0.882352941,0.970588235,0.970588235,0.882352941,0.877492877,0.061386402,19,0.946031746,0.952380952,0.952380952,0.971428571,0.968253968,0.949367089,0.943217666,0.94637224,0.943217666,0.955835962,0.952848681,0.009369877
22,0.009593654,0.002400748,0.00254693,0.001897056,100,4,rbf,"{'C': 100, 'degree': 4, 'kernel': 'rbf'}",0.944444444,0.972222222,1,0.861111111,0.805555556,0.914285714,0.941176471,1,0.970588235,0.911764706,0.931623932,0.059011959,4,0.993650794,0.99047619,0.99047619,0.996825397,0.993650794,0.993670886,0.993690852,0.990536278,0.993690852,0.990536278,0.992720451,0.002024425
23,0.00827055,0.003658307,0.000494957,0.000798512,100,4,poly,"{'C': 100, 'degree': 4, 'kernel': 'poly'}",0.944444444,0.888888889,0.805555556,0.805555556,0.861111111,0.942857143,0.882352941,0.970588235,0.970588235,0.911764706,0.897435897,0.058185231,11,0.958730159,0.958730159,0.946031746,0.971428571,0.971428571,0.965189873,0.952681388,0.943217666,0.955835962,0.971608833,0.959488293,0.009854902
24,0.090340829,0.070972141,0.000400138,0.001200414,100,5,linear,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.916666667,0.805555556,0.805555556,0.833333333,0.805555556,0.914285714,0.882352941,0.970588235,0.970588235,0.882352941,0.877492877,0.061386402,19,0.946031746,0.952380952,0.952380952,0.971428571,0.968253968,0.949367089,0.943217666,0.94637224,0.943217666,0.955835962,0.952848681,0.009369877
25,0.008867693,0.002320175,0.002468157,0.002123998,100,5,rbf,"{'C': 100, 'degree': 5, 'kernel': 'rbf'}",0.944444444,0.972222222,1,0.861111111,0.805555556,0.914285714,0.941176471,1,0.970588235,0.911764706,0.931623932,0.059011959,4,0.993650794,0.99047619,0.99047619,0.996825397,0.993650794,0.993670886,0.993690852,0.990536278,0.993690852,0.990536278,0.992720451,0.002024425
26,0.011866236,0.002152506,0.00148983,0.001608302,100,5,poly,"{'C': 100, 'degree': 5, 'kernel': 'poly'}",0.666666667,0.694444444,0.833333333,0.722222222,0.638888889,0.742857143,0.735294118,0.852941176,0.764705882,0.647058824,0.729344729,0.068990739,22,0.866666667,0.866666667,0.965079365,0.882539683,0.879365079,0.905063291,0.902208202,0.902208202,0.867507886,0.876971609,0.891427665,0.02841618
